,gameRank,playerKill,monsterKill,characterLevel,bestWeaponLevel,damageToPlayer,totalTime,userNum,gameId
0,15,0,8,10,6,2423,351,588210,15575676
1,5,0,32,16,13,2326,913,588210,15575144
2,14,0,3,9,4,533,324,8098,15960205
3,18,0,3,7,3,227,200,8098,15959988
4,17,0,1,7,4,1304,155,8098,15959844
5,15,0,11,10,7,2452,306,8098,15959576
6,17,0,13,10,8,1837,291,902294,16797693
7,1,4,37,19,17,19514,1124,902294,16797107
8,8,0,19,12,9,4479,470,902294,16719075
9,16,0,9,9,6,2119,218,902294,16718368
10,12,0,21,11,8,1731,348,902294,16708304
11,9,1,20,13,11,7674,525,902294,16696462
12,1,5,32,19,18,22385,1017,902294,16695973
13,5,1,25,15,12,7527,723,902294,16695602
14,9,0,17,11,9,5040,428,902294,16695559
15,13,1,10,11,10,8761,363,902294,16695527
16,12,0,22,12,9,2437,476,812232,15960413
17,9,0,10,13,9,4736,645,812232,15960049
18,3,2,23,17,13,14469,1115,812232,15959405
19,13,0,7,12,6,2369,502,812232,15959104
20,8,0,25,16,12,7782,821,812232,15958561
21,5,0,17,16,12,9461,875,812232,15957983
22,2,1,38,18,15,10266,1224,812232,15957199
23,8,1,33,15,13,4754,780,812232,15956722
24,13,0,19,11,7,484,354,3458099,16854378
25,11,0,19,11,9,4141,456,3458099,16843957
26,6,1,42,16,14,10258,881,3458099,16842978
27,10,2,17,11,9,4535,486,3458099,16791901
28,15,0,4,9,6,2181,297,3458099,16681646
29,14,0,9,10,7,2081,318,3458099,16678190
30,6,2,36,15,13,6378,700,3458099,16678032
31,14,0,14,10,8,4023,380,3458099,16677228
32,8,0,28,14,11,3635,699,3458099,16673971
33,11,0,21,11,8,323,517,3458099,16673683
34,3,4,39,19,17,20633,1228,3458099,16673070
35,1,4,54,18,17,14190,1116,3458099,16672479
36,6,0,29,15,12,6213,692,3458099,16609185
37,13,0,3,10,6,2505,351,3458099,16608455
38,6,1,29,16,12,6630,896,3458099,16608154
39,15,0,10,9,6,1166,278,3458099,16607409
40,1,3,51,16,15,8441,884,3458099,16596572
41,4,2,43,18,17,16378,1158,3458099,16595719
42,18,0,6,9,6,1058,257,3458099,16549768
43,10,2,10,13,11,9292,535,3458099,16549587
44,15,0,11,9,7,2795,300,3458099,16549154
45,8,1,22,15,11,6552,733,3458099,16548907
46,3,2,36,18,16,11218,1199,3458099,16548499
47,10,1,15,12,11,3737,490,1570760,16985660
48,16,0,10,10,7,868,280,1570760,16602991
49,1,6,35,18,20,22180,989,1570760,16597577
50,7,1,14,12,11,6736,469,1570760,16597343
51,14,0,12,10,7,922,334,1570760,15822265
52,16,0,6,10,8,3353,289,1570760,15637107
53,5,2,24,15,13,8742,814,1570760,15635782
54,15,0,7,9,7,3154,287,1570760,15635259
55,14,0,9,11,8,2433,340,1570760,15634979
