,gameRank,playerKill,monsterKill,useEmoticonCount,characterLevel,bestWeaponLevel,mmrGain,gameId,userNum,damageToPlayer,totalTime,craftLegend,damageFromPlayer,characterNum,,,
0,1,8,29,1,19,19,31,17130454,824539,29014,1179,0,12432,17,,,
1,1,5,46,1,18,18,21,17130306,824539,16894,1122,3,7126,17,,,
2,13,1,10,1,11,10,-17,17130258,824539,7031,393,0,4225,17,,,
3,1,7,44,1,19,19,30,17130152,824539,24017,1081,2,7739,17,,,
4,1,5,34,1,19,18,24,17130036,824539,19869,1172,3,4694,17,,,
5,8,5,10,1,12,12,0,17129984,824539,10063,478,0,5297,17,,,
6,6,4,21,1,14,14,3,17129892,824539,11504,734,1,7350,17,,,
7,1,4,40,1,18,16,16,17129752,824539,15800,1206,2,8694,17,,,
8,5,5,28,1,16,15,13,17129664,824539,11982,800,1,7521,12,,,
9,4,3,44,1,18,16,3,17129511,824539,11134,1130,2,6783,12,,,
10,9,3,14,1,12,10,-5,17129429,824539,6360,520,2,2905,12,,,
11,4,2,42,1,15,13,-4,17129335,824539,7250,674,1,5648,12,,,
12,14,0,8,1,10,8,-23,17129277,824539,4909,282,1,3506,12,,,
13,6,5,36,1,16,16,5,17129153,824539,17285,896,1,10316,12,,,
14,4,5,35,1,16,15,9,17129032,824539,14316,888,2,9666,12,,,
15,1,5,47,1,17,18,21,17128875,824539,20420,936,3,5659,12,,,
16,1,4,48,1,16,17,18,17128741,824539,16691,824,1,5071,12,,,
17,15,0,4,1,8,6,-23,17128675,824539,2193,209,0,2312,12,,,
18,3,3,31,1,17,16,3,17128473,824539,17466,1154,1,7409,12,,,
19,14,1,13,1,9,8,-19,17128388,824539,3116,266,0,1974,12,,,
20,17,0,2,1,7,5,-26,17128327,824539,991,150,0,1649,12,,,
21,2,2,39,1,18,18,1,17128048,824539,23818,1228,1,16985,12,,,
22,17,0,17,1,10,9,-21,17127955,824539,4182,361,0,3125,12,,,
23,10,1,23,1,12,10,-15,17127812,824539,6037,467,1,4387,12,,,
24,14,2,6,1,9,7,-13,17127709,824539,3126,253,0,2401,12,,,
25,1,9,45,1,19,20,45,17127350,824539,32246,1216,2,6787,12,,,
26,3,2,42,1,19,18,0,17126971,824539,16898,1227,1,12590,17,,,
27,12,1,18,1,11,10,-15,17126220,824539,6892,421,0,4478,17,,,
28,9,0,29,1,14,12,-17,17125906,824539,5379,648,1,4020,17,,,
29,10,1,20,1,14,12,-15,17125439,824539,8815,758,2,3738,12,,,
30,2,2,46,1,18,17,0,17124833,824539,17058,1200,1,7511,12,,,
31,4,2,38,1,15,14,-2,17124348,824539,9604,834,2,4906,12,,,
32,7,2,24,1,15,13,-6,17123833,824539,11382,759,3,7084,12,,,
33,11,1,19,1,11,9,-16,17123431,824539,2725,452,0,3061,17,,,
34,14,0,17,1,12,10,-22,17123056,824539,5438,477,0,4942,12,,,
35,5,3,33,1,18,16,0,17122302,824539,18520,1147,0,14409,17,,,
36,7,3,33,1,16,14,-1,17121709,824539,7775,765,0,4960,17,,,
37,4,3,36,1,17,16,1,17121068,824539,10961,920,1,6074,12,,,
38,5,2,39,1,17,15,-4,17120427,824539,9740,998,1,5504,17,,,
39,5,1,51,1,18,16,-8,17119776,824539,10400,1052,2,5092,12,,,
40,14,1,13,1,10,9,-19,17119538,824539,3812,319,0,2439,17,,,
41,14,1,14,1,11,9,-17,17119294,824539,4208,337,0,2538,12,,,
42,12,0,19,3,10,8,-20,17119022,824539,2038,349,0,2330,12,,,
43,1,6,39,1,16,16,23,17113035,824539,13468,877,3,6543,12,,,
44,9,1,7,1,11,8,-15,17112896,824539,5313,383,0,3645,17,,,
45,15,0,13,2,10,8,-24,17112773,824539,1882,329,0,1834,12,,,
46,1,7,41,1,18,18,27,17112472,824539,18657,1021,3,8986,17,,,
47,8,2,34,1,15,13,-9,17112239,824539,6640,710,2,2459,12,,,
48,1,5,29,1,17,16,19,17112029,824539,15789,883,3,4659,12,,,
49,1,4,49,1,19,19,17,17111734,824539,25189,1203,3,14936,12,,,
50,1,4,41,7,18,17,20,17111453,824539,15804,1253,2,6618,12,,,
51,16,0,8,2,9,7,-27,17111358,824539,1776,248,0,1961,12,,,
52,2,5,40,3,19,18,9,17111109,824539,19303,1191,1,14159,17,,,
53,1,5,42,1,19,19,24,17110871,824539,26862,1257,5,8714,12,,,
54,1,7,30,2,19,18,27,17103798,824539,26895,1163,4,8371,12,,,
55,1,3,46,1,19,19,18,17103098,824539,22958,1149,5,6633,17,,,
56,16,0,2,1,7,5,-26,17102950,824539,1209,176,0,836,17,,,
57,2,4,33,1,19,18,6,17102182,824539,21446,1220,4,9804,17,,,
58,3,7,28,1,18,17,18,17101402,824539,24159,1122,1,9747,12,,,
59,1,6,50,1,18,18,23,17100534,824539,19591,1240,2,7454,12,,,
60,10,1,13,1,12,10,-15,17100109,824539,6861,487,0,3191,17,,,
61,15,1,9,1,9,8,-22,17099847,824539,3545,268,0,2008,17,,,
62,2,4,41,1,18,17,11,17099072,824539,18794,1068,1,13561,12,,,
63,17,0,7,1,8,5,-25,17098852,824539,332,160,0,1679,12,,,
64,7,3,37,1,16,17,-5,17098266,824539,17400,844,1,8315,17,,,
65,8,1,25,1,13,11,-13,17097883,824539,3598,500,1,2151,12,,,
66,1,10,38,1,17,19,37,17097199,824539,21740,973,1,4625,17,,,
67,15,0,17,1,12,9,-24,17096890,824539,3008,444,0,3602,17,,,
68,12,2,9,1,11,10,-14,17096659,824539,7003,363,1,3481,12,,,
69,3,7,36,1,17,17,18,17096128,824539,16734,945,2,4368,12,,,
70,3,4,52,1,16,17,3,17095709,824539,12096,854,1,6935,12,,,
71,9,0,16,1,12,9,-16,17095429,824539,6293,565,1,4460,12,,,
72,1,11,53,2,19,20,42,17094291,824539,29712,1151,4,7579,12,,,
73,3,4,32,1,18,18,4,17093896,824539,25423,1158,1,11278,12,,,
74,1,5,28,1,18,18,21,17093511,824539,23769,1031,1,6797,17,,,
75,1,6,37,1,18,19,28,17091354,824539,21859,1035,3,5830,12,,,
